timestamp,graph_nodes,graph_edges,insertion_time_nodes,insertion_time_edges
2026-06-19T23:31:21.805076,0,0,483,432
2026-06-19T23:32:17.412628,34,31,4,5
2026-06-19T23:33:25.708842,39,32,66,75
2026-06-19T23:34:40.221405,174,36,1881,789
2026-06-19T23:35:36.603619,176,171,227,47
2026-06-19T23:36:40.964756,177,174,14,56
2026-06-19T23:37:46.011772,180,176,10,58
2026-06-19T23:38:51.227952,183,180,8,10
2026-06-19T23:39:56.971730,184,183,24,27
2026-06-19T23:41:02.586774,185,188,17,95
2026-06-19T23:45:25.433341,0,0,512,433
2026-06-19T23:46:18.367300,34,31,6,6
2026-06-19T23:47:23.758332,39,32,43,25
2026-06-19T23:48:37.404996,174,36,1057,729
2026-06-19T23:49:38.199685,176,171,151,42
2026-06-19T23:50:45.023187,177,174,15,158
2026-06-19T23:51:49.302041,180,176,14,73
2026-06-19T23:52:54.914081,183,180,20,9
2026-06-19T23:54:00.836146,184,186,15,17
2026-06-19T23:55:05.792457,185,189,17,49
2026-06-20T01:10:56.310037,185,213,498,387
2026-06-20T01:12:00.421289,185,213,32,14
2026-06-20T01:13:13.434181,185,213,172,57
2026-06-20T01:14:21.288150,185,213,359,477
2026-06-20T01:15:24.481875,185,213,25,11
2026-06-20T01:16:29.995177,185,213,12,254
2026-06-20T01:17:35.072823,185,213,16,84
2026-06-20T01:18:40.360494,185,213,8,13
2026-06-20T01:19:46.306490,185,213,10,7
2026-06-20T01:20:51.936131,185,213,32,94
