Timestamp,Total_Host_CPU_%,Total_Host_Mem_MB,Ollama_CPU_%,Ollama_Mem_MB
2026-06-20T01:30:49.124571,569.6,14141.7,0.0,0.0
2026-06-20T01:31:19.226141,155.2,15039.2,0.0,0.0
2026-06-20T01:31:49.327256,160.0,15188.2,0.0,0.0
2026-06-20T01:32:19.428643,523.2,15288.4,0.0,0.0
2026-06-20T01:32:49.533638,963.2,15145.2,0.0,0.0
2026-06-20T01:33:19.656409,422.4,14211.1,0.0,0.0
2026-06-20T01:33:49.768395,496.0,15566.0,0.0,0.0
2026-06-20T01:34:19.874150,728.0,15285.3,0.0,0.0
2026-06-20T01:34:49.989145,576.0,13354.9,0.0,0.0
2026-06-20T01:35:20.091108,620.8,12789.7,0.0,0.0
2026-06-20T01:35:50.193504,601.6,13042.9,0.0,0.0
2026-06-20T01:36:20.296848,553.6,13711.1,0.0,0.0
2026-06-20T01:36:50.399230,512.0,13857.4,0.0,0.0
2026-06-20T01:37:20.501090,577.6,13950.9,0.0,0.0
2026-06-20T01:37:50.602739,544.0,14072.2,0.0,0.0
2026-06-20T01:38:20.704656,496.0,14164.0,0.0,0.0
2026-06-20T01:38:50.806707,692.8,14175.6,0.0,0.0
2026-06-20T01:39:20.908973,572.8,13503.9,0.0,0.0
2026-06-20T01:39:51.011686,784.0,13638.1,0.0,0.0
2026-06-20T01:40:21.113886,688.0,14117.8,0.0,0.0
2026-06-20T01:40:51.216342,745.6,14224.9,0.0,0.0
2026-06-20T01:41:21.318204,532.8,13840.0,0.0,0.0
2026-06-20T01:41:51.420640,675.2,13763.4,0.0,0.0
2026-06-20T01:42:21.523067,497.6,14209.9,0.0,0.0
2026-06-20T01:42:51.625297,710.4,14922.7,0.0,0.0
