Model,n,Mean,Median,SD,Min,Max
GPT-5.1,39,27627.886,24860.333,13510.707,7587.015,54626.148
Qwen3.5-4B,37,2390795723996.838,278014190226.0,4124034164679.568,29555082441.0,17517058232373.0
