Treatment,n,Mean,Median,SD,Min,Max
GPT-5.1,421,124.743,92.8,117.891,0.0,984.0
Qwen3.5-4B,4340,674.884,689.6,231.853,0.0,1600.0
Non-enriched,112,254.043,223.2,199.026,0.0,1129.6
