Model,Milestone,n,Mean,Median,SD,Min,Max
GPT-5.1,0-184,10,1.6,1.0,1.647,0.0,5.0
GPT-5.1,1 000,10,18.0,14.0,12.037,3.0,37.0
GPT-5.1,5 000,10,111.3,88.5,127.99,0.0,388.0
GPT-5.1,10 000,10,320.1,266.5,235.7,1.0,678.0
Qwen3.5-4B,0-184,11,1.0,1.0,1.483,0.0,5.0
Qwen3.5-4B,1 000,11,18.636,14.0,11.509,3.0,37.0
Qwen3.5-4B,5 000,11,136.545,157.0,147.347,0.0,388.0
Qwen3.5-4B,10 000,11,320.909,329.0,223.62,1.0,678.0
