Model,Milestone,n,Mean,Median,SD,Min,Max
GPT-5.1,0-184,10,19.8,6.0,41.346,0.0,134.0
GPT-5.1,1 000,10,252.7,243.0,175.448,0.0,487.0
GPT-5.1,5 000,10,691.7,238.0,801.431,1.0,1842.0
GPT-5.1,10 000,10,896.7,1070.5,706.666,1.0,2018.0
Qwen3.5-4B,0-184,11,6.545,5.0,9.74,0.0,34.0
Qwen3.5-4B,1 000,11,250.909,234.0,166.524,0.0,487.0
Qwen3.5-4B,5 000,11,652.0,255.0,771.621,1.0,1842.0
Qwen3.5-4B,10 000,11,817.727,1047.0,719.752,1.0,2018.0
