Model,Milestone,n,Mean,Median,SD,Min,Max
GPT-5.1,0-184,10,2400.0,2000.0,966.092,1000,4000
GPT-5.1,1 000,10,15100.0,11500.0,13444.949,4000,51000
GPT-5.1,5 000,10,16000.0,14000.0,11224.972,4000,32000
GPT-5.1,10 000,9,25333.333,18000.0,25446.021,6000,88000
Qwen3.5-4B,0-184,10,1700.0,1500.0,948.683,1000,4000
Qwen3.5-4B,1 000,8,12000.0,11000.0,5099.02,6000,23000
Qwen3.5-4B,5 000,9,63111.111,27000.0,86532.428,10000,283000
Qwen3.5-4B,10 000,10,32600.0,24500.0,38439.563,6000,137000
