Model,Milestone,n,Mean,Median,SD,Min,Max
GPT-5.1,0→184,10,5333.0,3578.5,4575.283,1924.0,14184.0
GPT-5.1,1 000,10,35321.9,43631.5,21269.967,8418.0,60644.0
GPT-5.1,5 000,10,97596.9,75245.0,96476.756,1771.0,223501.0
GPT-5.1,10 000,9,143492.333,159810.0,88337.929,1977.0,258424.0
Qwen3.5-4B,0→184,10,6301.6,4068.0,4721.29,2104.0,16955.0
Qwen3.5-4B,1 000,8,46232.875,57786.5,26721.229,9839.0,77043.0
Qwen3.5-4B,5 000,9,23297.778,1945.0,44624.123,471.0,125876.0
Qwen3.5-4B,10 000,10,13367.5,471.0,27624.883,471.0,78738.0
