Model,Milestone,n,Mean,Median,SD,Min,Max
GPT-5.1,0→184,10,11100.0,2750.0,24010.183,1500.0,79000.0
GPT-5.1,1 000,10,7400.0,5000.0,7321.202,3500.0,28000.0
GPT-5.1,5 000,10,17850.0,14000.0,13866.526,11500.0,57000.0
GPT-5.1,10 000,9,31888.889,25500.0,20835.333,21000.0,87000.0
Qwen3.5-4B,0→184,10,8500.0,3250.0,13256.026,1500.0,45000.0
Qwen3.5-4B,1 000,8,11625.0,12500.0,4860.556,5500.0,18000.0
Qwen3.5-4B,5 000,9,42888.889,36000.0,37801.933,15500.0,139000.0
Qwen3.5-4B,10 000,10,31650.0,29750.0,8465.781,20500.0,45500.0
