Treatment,n,Mean,Median,SD,Min,Max
GPT-5.1,78,60395052.905,57000138.912,28349717.775,11766540.663,140859892.173
Qwen3.5-4B,69,1705248319.644,1756673298.379,311116636.85,209345403.053,2548384415.451
