Treatment,n,Mean,Median,SD,Min,Max
GPT-5.1,590,211767.797,88000.0,1449666.332,0,25358000
Qwen3.5-4B,590,482994.915,219500.0,2952921.928,0,57028000
Non-enriched,588,212935.374,85500.0,1512836.491,0,25625000
