Treatment,n,Mean,Median,SD,Min,Max
GPT-5.1,590,29772.881,5000.0,229258.891,3000,3822000
Qwen3.5-4B,590,69849.153,15000.0,445513.32,3000,8864000
Non-enriched,588,29943.878,5000.0,258356.874,3000,4420000
