Model,Milestone,n,Mean,Median,SD,Min,Max
GPT-5.1,0→184,10,7800.0,4000.0,9223.159,2000,31000
GPT-5.1,1 000,10,21700.0,12500.0,35987.807,4000,123000
GPT-5.1,5 000,10,47400.0,25000.0,71714.248,6000,243000
GPT-5.1,10 000,9,51222.222,38000.0,46810.196,13000,171000
Qwen3.5-4B,0→184,10,8300.0,3500.0,8944.893,2000,28000
Qwen3.5-4B,1 000,8,38500.0,30500.0,28349.855,5000,87000
Qwen3.5-4B,5 000,9,65333.333,48000.0,63354.163,8000,205000
Qwen3.5-4B,10 000,10,148300.0,70500.0,153888.163,18000,436000
