Model,Milestone,n,Mean,Median,SD,Min,Max
GPT-5.1,0-184,10,19122.318,18180.731,9493.801,7587.015,41417.216
GPT-5.1,1 000,10,34070.932,28426.005,15809.72,17544.025,54626.148
GPT-5.1,5 000,10,26552.471,24507.228,14910.872,8651.059,46240.955
GPT-5.1,10 000,9,31114.481,31351.477,8769.404,12871.042,45973.803
Qwen3.5-4B,0-184,10,522996.729,302659.549,590983.408,102798.621,2092011.828
Qwen3.5-4B,1 000,8,5095780.535,6361941.123,3546928.185,654517.777,8744079.322
Qwen3.5-4B,5 000,9,2823629.386,116434.011,5955287.577,34682.785,17517248.707
Qwen3.5-4B,10 000,10,1705342.317,68703.164,3909359.969,29589.547,12124537.21
