timestamp,llm_generation_time,llm_generated_edges,llm_correct_generated_edges,neo4j_retrieval_time_window,graph_nodes_window,graph_edges_window,db_hits_window,neo4j_retrieval_time_neighbourhood,graph_nodes_neighbourhood,graph_edges_neighbourhood,db_hits_neighbourhood,neo4j_retrieval_time_vector,graph_nodes_vector,graph_edges_vector,db_hits_vector,llm_insertion_time,llm_graph_nodes,llm_graph_edges2026-06-09T16:42:49.393798,"13 days, 21:38:00.743000",4,4,72.0,35801.0,126387.0,0.0,89,35801,126387,0,9,35801,126387,0,329,35833,126585

2026-06-10T18:10:22.959105,41011.7714249991,17,17,68.5,35881.666666666664,127463.16666666667,0.0,197,35883,127487,0,4,35884,127487,0,633,35886,127508
2026-06-10T18:13:28.424615,79169.70453000067,49,49,68.28571428571429,35887.142857142855,127505.85714285714,0.0,107,35890,127522,0,4,35890,127522,0,1634,35892,127561
2026-06-10T18:16:13.514592,92655.32714300025,73,73,68.75,35891.625,127544.375,0.0,131,35894,127564,0,3,35894,127564,0,2493,35896,127613
2026-06-10T18:19:00.704948,98451.41407299889,65,65,65.83333333333333,35896.333333333336,127592.0,0.0,98,35898,127616,0,4,35898,127616,0,2239,35900,127657
2026-06-10T18:20:26.970162,35383.356495000044,8,8,66.28571428571429,35899.57142857143,127636.14285714286,0.0,150,35901,127661,0,2,35901,127661,0,299,35902,127672
2026-06-10T18:23:56.113175,58147.6696990012,39,39,66.8,35904.0,127679.0,0.0,187,35907,127698,0,3,35907,127698,0,1313,35908,127726
2026-06-10T18:26:10.535835,42566.84516200039,20,20,66.28571428571429,35910.857142857145,127723.0,0.0,145,35914,127744,0,3,35914,127744,0,666,35916,127768
2026-06-10T18:28:26.080419,29460.4754890006,11,11,64.83333333333333,35919.666666666664,127869.0,0.0,167,35936,128403,0,4,35936,128403,0,368,35937,128414
2026-06-10T18:32:13.332634,102241.5046290007,100,100,65.33333333333333,35938.333333333336,128416.66666666667,0.0,102,35940,128424,0,3,35940,128424,0,3401,35944,128515
2026-06-10T18:34:31.637164,88585.03346299949,113,113,67.0,35943.4,128469.0,0.0,158,35946,128527,0,4,35946,128527,0,3864,35949,128555
2026-06-10T18:37:28.431443,115965.48834799978,116,116,64.42857142857143,35949.28571428572,128543.28571428571,0.0,149,35952,128567,0,4,35952,128567,0,3851,35960,128676
2026-06-10T18:38:51.279365,54459.54966099998,38,38,68.28571428571429,35955.142857142855,128589.57142857143,0.0,152,35960,128676,0,4,35960,128676,0,1325,35961,128700
2026-06-10T18:40:53.516716,27398.135082999943,8,8,73.0,35962.2,128958.2,0.0,188,35965,129382,0,3,35965,129382,0,274,35966,129393
2026-06-10T18:44:31.193057,85637.59600400044,107,107,68.4,35967.0,129404.6,0.0,238,35993,129662,0,4,35993,129662,0,3655,35995,129712
2026-06-10T18:45:55.591864,26882.106101998943,17,17,66.875,35994.125,129681.75,0.0,203,35995,129712,0,3,35995,129712,0,591,35995,129729
2026-06-10T18:48:54.639502,42937.87221100138,28,28,72.0,35996.625,129726.875,0.0,226,35997,129729,0,4,35997,129729,0,976,35998,129754
2026-06-10T18:51:40.925445,47686.34145299984,47,47,71.375,35999.125,129751.375,0.0,245,36001,129762,0,4,36001,129762,0,1622,36001,129780
2026-06-10T18:54:02.262004,30857.021776000693,7,7,71.5,36002.0,129777.5,0.0,186,36005,129788,0,4,36005,129788,0,226,36006,129798
2026-06-10T18:57:34.863018,72059.25802000093,109,109,71.5,36018.75,129814.0,0.0,228,36032,129843,0,2,36032,129843,0,3920,36034,129928
2026-06-10T18:59:44.962097,43831.37850100138,13,13,68.33333333333333,36035.0,129901.66666666667,0.0,199,36037,129932,0,4,36037,129932,0,432,36037,129944
2026-06-10T19:02:42.340965,72735.4498929999,50,50,80.375,36037.0,129939.5,0.0,147,36037,129944,0,6,36037,129944,0,1744,36037,129959
2026-06-10T19:05:14.731730,65699.80991500051,53,53,78.75,36037.0,129951.5,0.0,191,36037,129959,0,4,36037,129959,0,1810,36037,130007
2026-06-10T19:07:52.312077,62441.30651799969,72,72,71.28571428571429,36037.0,129986.42857142857,0.0,181,36037,130007,0,3,36037,130007,0,2399,36037,130019
2026-06-10T19:10:05.670427,37734.74049000106,26,26,77.57142857142857,36037.0,130013.85714285714,0.0,181,36037,130019,0,2,36037,130019,0,887,36037,130028
2026-06-10T19:13:04.882838,55820.24896999974,48,48,87.85714285714286,36037.0,130026.71428571429,0.0,235,36037,130028,0,3,36037,130028,0,1616,36037,130037
2026-06-10T19:16:17.537040,85972.91925900026,115,115,80.0,36037.0,130032.5,0.0,195,36037,130037,0,3,36037,130037,0,3896,36037,130052
2026-06-10T19:18:05.031890,35929.64609900082,18,18,68.0,36037.0,130045.57142857143,0.0,258,36037,130052,0,3,36037,130052,0,651,36037,130070
2026-06-10T19:21:07.855876,58412.1122860015,44,44,66.875,36037.0,130065.5,0.0,181,36037,130070,0,3,36037,130070,0,1487,36037,130110
2026-06-10T19:23:35.710979,46093.28500300035,23,23,67.875,36037.0,130095.0,0.0,239,36037,130110,0,4,36037,130110,0,770,36037,130133
2026-06-10T19:27:39.652097,126895.92835599979,122,122,65.625,36037.0,130127.25,0.0,154,36037,130133,0,4,36037,130133,0,4120,36037,130190
2026-06-10T19:28:47.634835,38300.51831699893,15,15,67.125,36037.0,130147.25,0.0,267,36037,130190,0,2,36037,130190,0,510,36037,130205
2026-06-10T19:32:21.118158,89291.54616099913,90,90,64.625,36037.0,130201.25,0.0,246,36037,130205,0,3,36037,130205,0,3030,36037,130255
