Timestamp,Total_Host_CPU_%,Total_Host_Mem_MB,Ollama_CPU_%,Ollama_Mem_MB
2026-06-10T23:17:19.485731,387.2,15273.9,0.0,0.0
2026-06-10T23:17:49.588553,0.0,15153.6,0.0,0.0
2026-06-10T23:18:19.691524,161.6,15313.8,0.0,0.0
2026-06-10T23:18:49.793571,188.8,15302.8,0.0,0.0
2026-06-10T23:19:19.894429,33.6,13391.8,0.0,0.0
2026-06-10T23:19:49.996713,89.6,14133.3,0.0,0.0
2026-06-10T23:20:20.099014,225.6,14053.2,0.0,0.0
2026-06-10T23:20:50.201528,51.2,13439.8,0.0,0.0
2026-06-10T23:21:20.303696,22.4,13538.7,0.0,0.0
2026-06-10T23:21:50.405160,193.6,13521.8,0.0,0.0
2026-06-10T23:22:20.506455,126.4,13540.9,0.0,0.0
2026-06-10T23:22:50.610143,123.2,13496.9,0.0,0.0
2026-06-10T23:23:20.712081,150.4,13630.1,0.0,0.0
2026-06-10T23:23:50.814149,105.6,13465.2,0.0,0.0
2026-06-10T23:24:20.915370,124.8,13036.7,0.0,0.0
2026-06-10T23:24:51.017856,110.4,12937.5,0.0,0.0
2026-06-10T23:25:21.120490,44.8,13035.5,0.0,0.0
2026-06-10T23:25:51.222960,46.4,13110.7,0.0,0.0
2026-06-10T23:26:21.325275,72.0,12672.2,0.0,0.0
2026-06-10T23:26:51.427259,472.0,12674.0,0.0,0.0
2026-06-10T23:27:21.529340,225.6,12604.8,0.0,0.0
2026-06-10T23:27:51.630657,84.8,12645.6,0.0,0.0
2026-06-10T23:28:21.732083,83.2,12725.0,0.0,0.0
2026-06-10T23:28:51.833795,30.4,12714.1,0.0,0.0
2026-06-10T23:29:21.935677,88.0,12402.0,0.0,0.0
2026-06-10T23:29:52.037255,30.4,12259.0,0.0,0.0
2026-06-10T23:30:22.140181,54.4,12315.7,0.0,0.0
2026-06-10T23:30:52.241674,32.0,12322.5,0.0,0.0
2026-06-10T23:31:22.343431,243.2,12329.3,0.0,0.0
2026-06-10T23:31:52.445825,76.8,12318.5,0.0,0.0
2026-06-10T23:32:22.547088,105.6,12343.0,0.0,0.0
2026-06-10T23:32:52.649393,86.4,12296.5,0.0,0.0
2026-06-10T23:33:22.751080,84.8,12364.8,0.0,0.0
2026-06-10T23:33:52.853972,52.8,12342.4,0.0,0.0
2026-06-10T23:34:22.956024,92.8,12114.3,0.0,0.0
2026-06-10T23:34:53.057458,67.2,12051.1,0.0,0.0
2026-06-10T23:35:23.160231,259.2,12149.9,0.0,0.0
2026-06-10T23:35:53.262126,16.0,12103.1,0.0,0.0
2026-06-10T23:36:23.364492,32.0,12202.2,0.0,0.0
2026-06-10T23:36:53.466470,52.8,12119.9,0.0,0.0
2026-06-10T23:37:23.568985,105.6,12203.7,0.0,0.0
2026-06-10T23:37:53.670767,52.8,12149.4,0.0,0.0
2026-06-10T23:38:23.772965,212.8,12205.7,0.0,0.0
2026-06-10T23:38:53.874717,104.0,12126.1,0.0,0.0
2026-06-10T23:39:23.976244,177.6,12192.3,0.0,0.0
2026-06-10T23:39:54.077995,150.4,12133.1,0.0,0.0
2026-06-10T23:40:24.179932,156.8,12171.0,0.0,0.0
2026-06-10T23:40:54.281304,139.2,12157.4,0.0,0.0
2026-06-10T23:41:24.382933,259.2,12042.2,0.0,0.0
2026-06-10T23:41:54.484932,89.6,12179.5,0.0,0.0
2026-06-10T23:42:24.586830,36.8,12103.7,0.0,0.0
2026-06-10T23:42:54.689103,96.0,12122.1,0.0,0.0
2026-06-10T23:43:24.790742,86.4,12096.1,0.0,0.0
2026-06-10T23:43:54.893507,81.6,12057.1,0.0,0.0
2026-06-10T23:44:24.996102,17.6,12134.2,0.0,0.0
2026-06-10T23:44:55.098775,132.8,12184.3,0.0,0.0
2026-06-10T23:45:25.200264,80.0,12170.9,0.0,0.0
2026-06-10T23:45:55.302699,379.2,12272.8,0.0,0.0
2026-06-10T23:46:25.404081,651.2,14304.0,0.0,0.0
2026-06-10T23:46:55.506654,857.6,14272.9,0.0,0.0
2026-06-10T23:47:25.609263,616.0,14254.1,0.0,0.0
2026-06-10T23:47:55.711718,616.0,14302.9,0.0,0.0
2026-06-10T23:48:25.814197,652.8,14286.4,0.0,0.0
2026-06-10T23:48:55.916376,760.0,14325.9,0.0,0.0
2026-06-10T23:49:26.019138,768.0,14338.9,0.0,0.0
2026-06-10T23:49:56.121593,748.8,14492.7,0.0,0.0
2026-06-10T23:50:26.223741,673.6,14843.7,0.0,0.0
2026-06-10T23:50:56.325955,660.8,14840.3,0.0,0.0
2026-06-10T23:51:26.428296,657.6,14729.8,0.0,0.0
2026-06-10T23:51:56.531146,656.0,14695.2,0.0,0.0
