Timestamp,Total_Host_CPU_%,Total_Host_Mem_MB,Ollama_CPU_%,Ollama_Mem_MB
2026-06-10T18:45:58.520120,225.6,15260.7,0.0,0.0
2026-06-10T18:46:28.621836,139.2,15212.4,0.0,0.0
2026-06-10T18:46:58.723492,35.2,15340.6,0.0,0.0
2026-06-10T18:47:28.825626,81.6,15314.1,0.0,0.0
2026-06-10T18:47:58.927637,0.0,14751.9,0.0,0.0
2026-06-10T18:48:29.029583,56.0,13371.7,0.0,0.0
2026-06-10T18:48:59.132532,76.8,13605.9,0.0,0.0
2026-06-10T18:49:29.235188,128.0,13589.2,0.0,0.0
2026-06-10T18:49:59.336680,124.8,13765.4,0.0,0.0
2026-06-10T18:50:29.438242,267.2,13729.1,0.0,0.0
2026-06-10T18:50:59.539756,184.0,13804.7,0.0,0.0
2026-06-10T18:51:29.642315,80.0,13803.6,0.0,0.0
2026-06-10T18:51:59.743873,120.0,13871.3,0.0,0.0
2026-06-10T18:52:29.845071,80.0,13869.3,0.0,0.0
2026-06-10T18:52:59.947765,286.4,13938.5,0.0,0.0
2026-06-10T18:53:30.050573,46.4,13033.5,0.0,0.0
2026-06-10T18:54:00.152738,102.4,13149.4,0.0,0.0
2026-06-10T18:54:30.254111,30.4,12806.9,0.0,0.0
2026-06-10T18:55:00.355484,222.4,13189.2,0.0,0.0
2026-06-10T18:55:30.458435,129.6,13157.0,0.0,0.0
2026-06-10T18:56:00.560589,440.0,13225.0,0.0,0.0
2026-06-10T18:56:30.662248,123.2,13175.8,0.0,0.0
2026-06-10T18:57:00.764030,198.4,13188.4,0.0,0.0
2026-06-10T18:57:30.865355,172.8,13152.4,0.0,0.0
2026-06-10T18:58:00.967162,110.4,13318.1,0.0,0.0
2026-06-10T18:58:31.068594,539.2,13151.7,0.0,0.0
2026-06-10T18:59:01.170029,0.0,13299.0,0.0,0.0
2026-06-10T18:59:31.272001,214.4,13225.5,0.0,0.0
2026-06-10T19:00:01.373681,216.0,13385.5,0.0,0.0
2026-06-10T19:00:31.475460,86.4,13790.9,0.0,0.0
2026-06-10T19:01:01.577014,299.2,13489.4,0.0,0.0
2026-06-10T19:01:31.678265,272.0,13437.1,0.0,0.0
2026-06-10T19:02:01.780134,193.6,13558.9,0.0,0.0
2026-06-10T19:02:31.881516,129.6,13688.5,0.0,0.0
2026-06-10T19:03:01.983797,0.0,13569.6,0.0,0.0
2026-06-10T19:03:32.086344,166.4,13152.9,0.0,0.0
2026-06-10T19:04:02.188180,222.4,13226.3,0.0,0.0
2026-06-10T19:04:32.289562,16.0,13289.6,0.0,0.0
2026-06-10T19:05:02.391687,113.6,13290.3,0.0,0.0
2026-06-10T19:05:32.493565,145.6,13338.0,0.0,0.0
2026-06-10T19:06:02.595868,228.8,13432.3,0.0,0.0
